PHOTOID, LATITUDE, LONGITUDE, DATETIME
32016987736, 61.506274, 23.766582, 2016:12:31 14:24:33
31938143891, 61.506494, 23.766689, 2016:12:31 14:23:51
32016973636, 61.507610, 23.772118, 2016:12:31 14:19:39
31214965264, 61.504483, 23.774414, 2016:12:31 14:11:12
31214964214, 61.504483, 23.774703, 2016:12:31 14:10:55
32055844305, 61.504616, 23.774961, 2016:12:31 14:08:17
31246054583, 61.504370, 23.775100, 2016:12:31 14:06:36
32055834735, 61.502676, 23.773609, 2016:12:31 14:03:17
32016928356, 61.501217, 23.770626, 2016:12:31 13:57:52
31214952344, 61.500659, 23.770744, 2016:12:31 13:56:50
31907968512, 61.500531, 23.770862, 2016:12:31 13:56:15
31214947884, 61.499684, 23.771823, 2016:12:31 13:53:52
31214944844, 61.499684, 23.771823, 2016:12:31 13:53:11
31246024463, 61.499149, 23.771367, 2016:12:31 13:50:57
32055803685, 61.499676, 23.771141, 2016:12:31 13:49:51
31246013823, 61.500531, 23.770862, 2016:12:31 13:47:39
31214933324, 61.500689, 23.771538, 2016:12:31 13:46:29
31246003543, 61.500521, 23.771522, 2016:12:31 13:45:15
32055788405, 61.500521, 23.771522, 2016:12:31 13:44:18
31938085081, 61.500500, 23.771828, 2016:12:31 13:43:12
31214917454, 61.500807, 23.772439, 2016:12:31 13:41:54
31245978403, 61.500618, 23.772064, 2016:12:31 13:40:54
31938077171, 61.500777, 23.774617, 2016:12:31 13:39:10
31214915144, 61.499696, 23.775615, 2016:12:31 13:36:35
31214913974, 61.500249, 23.775411, 2016:12:31 13:34:50
31214912704, 61.500423, 23.776849, 2016:12:31 13:33:31
31214911394, 61.499681, 23.776720, 2016:12:31 13:29:19
31214907364, 61.499543, 23.776849, 2016:12:31 13:28:51
32016810576, 61.499543, 23.776849, 2016:12:31 13:27:39
32016806696, 61.499277, 23.777160, 2016:12:31 13:26:47
31214894424, 61.499277, 23.777160, 2016:12:31 13:26:23
31214890884, 61.499338, 23.777471, 2016:12:31 13:24:07
32055733625, 61.499338, 23.777471, 2016:12:31 13:23:54
31214887884, 61.499082, 23.777514, 2016:12:31 13:21:29
32055727265, 61.499082, 23.777514, 2016:12:31 13:20:48
35302887395, 61.501388, 23.763055, 2017:03:18 18:39:14
33994353973, 61.541801, 23.617869, 2017:03:31 15:54:40
34803922185, 61.501396, 23.723430, 2017:03:31 16:23:25
34763839536, 61.501396, 23.723430, 2017:03:31 16:35:09
34641426282, 61.532658, 23.635625, 2017:03:31 16:54:44
34671418731, 61.738308, 23.406307, 2017:03:31 17:28:00
34763837076, 61.741965, 23.401490, 2017:03:31 17:44:53
34641423872, 61.745043, 23.396683, 2017:03:31 17:52:28
34763835856, 61.738308, 23.406307, 2017:03:31 18:06:43
34671415731, 61.532658, 23.635625, 2017:03:31 19:39:28
34763834496, 61.554804, 23.590521, 2017:03:31 20:05:03
34641421692, 61.554537, 23.590897, 2017:03:31 20:27:36
34671413781, 61.551595, 23.596680, 2017:03:31 20:15:20
34763832376, 61.554537, 23.590897, 2017:03:31 20:27:54
33116569323, 61.492242, 23.770809, 2017:03:04 12:07:43
33799527461, 61.492134, 23.768277, 2017:03:04 12:13:07
33544385100, 61.493250, 23.765938, 2017:03:04 12:33:51
33086045664, 61.493506, 23.765294, 2017:03:04 12:37:03
33116539953, 61.493506, 23.765294, 2017:03:04 12:37:53
33929589725, 61.498811, 23.776538, 2017:03:04 13:07:05
33116516813, 61.498826, 23.776066, 2017:03:04 13:08:19
33929575535, 61.499082, 23.777514, 2017:03:04 13:20:38
33929571055, 61.499338, 23.777471, 2017:03:04 13:29:07
33085938524, 61.499696, 23.775615, 2017:03:04 13:48:34
33085931534, 61.500500, 23.771828, 2017:03:04 13:55:07
33085926594, 61.500521, 23.771522, 2017:03:04 13:56:39
33544281730, 61.500521, 23.771522, 2017:03:04 13:57:25
33085917164, 61.499952, 23.771120, 2017:03:04 14:04:50
33085914204, 61.500531, 23.770862, 2017:03:04 14:06:57
33771974522, 61.500659, 23.770744, 2017:03:04 14:07:46
33116448853, 61.507410, 23.761121, 2017:03:04 14:38:55
33085892754, 61.506469, 23.755896, 2017:03:04 14:48:41
33085884944, 61.507554, 23.765777, 2017:03:04 14:59:18
32919341714, 61.468219, 24.084461, 2017:03:28 22:55:22
33633416641, 61.468219, 24.084461, 2017:03:28 22:59:00
33633304781, 61.572838, 24.453655, 2017:03:26 18:27:00
33377761560, 61.572838, 24.453655, 2017:03:26 18:31:21
33762485845, 61.572838, 24.453655, 2017:03:26 18:46:00
33633278291, 61.981263, 23.726755, 2017:03:25 17:25:27
33624769871, 62.271067, 25.877169, 2017:03:30 01:17:03
33578335812, 62.245307, 25.936167, 2017:03:29 04:28:48
33677865816, 62.245337, 25.935995, 2017:03:29 03:47:15
33524270122, 62.245617, 25.955511, 2017:03:23 02:09:51
33523180242, 61.466008, 23.775014, 2017:03:27 13:47:10
33273791360, 62.245617, 25.955511, 2017:03:23 03:07:07
33616887466, 61.486552, 23.757655, None
33263832320, 61.517205, 23.811621, None
33436057022, 61.501988, 23.728541, 2017:03:22 19:51:05
33461985921, 61.477375, 24.506236, 2017:03:22 18:34:56
33516963156, 61.505277, 23.713055, 2017:03:20 19:24:03
33513129326, 62.129414, 23.920012, 2017:03:05 15:23:58
33513116716, 62.197597, 23.832541, 2017:03:05 15:09:54
33553874975, 62.210002, 23.812688, 2017:03:05 11:26:03
33553872165, 62.209603, 23.812780, 2017:03:05 11:22:15
32739393083, 62.209458, 23.812823, 2017:03:05 11:15:02
33397136462, 62.209068, 23.813681, 2017:03:05 11:05:36
33397119482, 62.208813, 23.813982, 2017:03:05 11:02:49
32739344763, 62.209113, 23.813377, 2017:03:05 10:57:27
33170354760, 62.209603, 23.812780, 2017:03:05 10:48:35
33553750035, 62.209558, 23.812834, 2017:03:05 10:42:57
32709132314, 62.257638, 23.744679, 2017:03:04 12:31:30
33423754071, 62.259408, 23.696870, 2017:03:04 12:15:48
