termPHOTOID, LATITUDE, LONGITUDE, DATETIME
36323730274, 61.914922, 23.379678, 2017:09:09 07:02:56
36346016483, 61.914922, 23.379678, 2017:09:09 07:48:15
37159759325, 61.890658, 23.008375, 2017:09:09 18:33:29
32862555016, 60.251111, 24.843950, 2017:02:13 17:44:52
36953018476, 61.654683, 24.053877, 2017:07:11 16:02:01
36949309736, 61.654683, 24.053877, 2017:07:11 15:33:36
36345680173, 60.244186, 24.752847, 2017:09:05 16:59:20
36323168874, 59.778830, 21.372013, 2017:09:08 15:32:13
37016933151, 60.167463, 24.954950, 2014:05:18 12:47:03
37016931051, 60.167463, 24.954950, 2014:05:18 12:43:38
37016929271, 60.167463, 24.954950, 2014:05:18 12:02:44
37016927661, 60.167463, 24.954950, 2014:05:18 12:00:06
36345367523, 60.167463, 24.954950, 2014:05:18 11:58:39
36345366793, 60.167463, 24.954950, 2014:05:18 11:56:17
36345365913, 60.167463, 24.954950, 2014:05:18 11:56:08
36345365033, 60.167463, 24.954950, 2014:05:18 11:52:38
36345364493, 60.167463, 24.954950, 2014:05:18 11:50:33
36345363863, 60.167463, 24.954950, 2014:05:18 11:49:44
36345363083, 60.167463, 24.954950, 2014:05:18 11:49:04
36345362253, 60.167463, 24.954950, 2014:05:18 11:47:37
36345361363, 60.167463, 24.954950, 2014:05:18 11:47:26
36345360593, 60.167463, 24.954950, 2014:05:18 11:47:04
36345359593, 60.167463, 24.954950, 2014:05:18 11:46:24
36761811050, 60.167463, 24.954950, 2014:05:18 11:45:18
36761810090, 60.167463, 24.954950, 2014:05:18 11:45:01
36761808850, 60.167463, 24.954950, 2014:05:18 11:43:42
36761806270, 60.167463, 24.954950, 2014:05:18 11:41:09
36761805120, 60.167463, 24.954950, 2014:05:18 11:32:49
36761804170, 60.167463, 24.954950, 2014:05:18 11:32:25
36761802890, 60.167463, 24.954950, 2014:05:18 11:32:16
36761801020, 60.167463, 24.954950, 2014:05:18 11:29:03
36761799790, 60.167463, 24.954950, 2014:05:18 11:27:11
36761798670, 60.167463, 24.954950, 2014:05:18 11:26:35
36761797490, 60.167463, 24.954950, 2014:05:18 11:25:56
36761795930, 60.167463, 24.954950, 2014:05:18 11:22:59
36761794580, 60.167463, 24.954950, 2014:05:18 11:22:22
36761793530, 60.167463, 24.954950, 2014:05:18 10:57:13
36761792290, 60.167463, 24.954950, 2014:05:18 10:39:19
36969807066, 60.167463, 24.954950, 2014:05:18 10:22:27
36969805806, 60.167463, 24.954950, 2014:05:18 10:22:25
36969804946, 60.167463, 24.954950, 2014:05:18 10:15:55
36969803876, 60.167463, 24.954950, 2014:05:18 10:14:27
36969802816, 60.167463, 24.954950, 2014:05:18 09:52:06
36969801886, 60.167463, 24.954950, 2014:05:18 09:50:37
36969800936, 60.167463, 24.954950, 2014:05:18 09:50:17
36969800186, 60.167463, 24.954950, 2014:05:18 09:49:47
36969799286, 60.167463, 24.954950, 2014:05:18 09:44:55
36969798286, 60.167463, 24.954950, 2014:05:18 09:10:22
37016861231, 60.167463, 24.954950, 2014:05:18 09:09:21
37016859821, 60.167463, 24.954950, 2014:05:18 09:07:46
37016858431, 60.167463, 24.954950, 2014:05:18 09:00:36
36323026184, 60.167463, 24.954950, 2014:05:18 09:00:01
36323024844, 60.167463, 24.954950, 2014:05:18 08:59:15
36323023554, 60.167463, 24.954950, 2014:05:18 08:58:52
36323022444, 60.167463, 24.954950, 2014:05:18 08:58:30
36761740500, 60.167463, 24.954950, 2014:05:17 07:48:47
36969610226, 60.229266, 25.101130, 2004:09:11 13:46:07
36322830384, 59.863884, 23.395660, None
37016299571, 60.853465, 26.614948, None
36987241642, 61.878097, 29.913797, 2017:09:10 15:31:50
36968197216, 60.175243, 24.921777, 2017:08:30 10:42:31
